Catalog Number,Inventory number,Suffix,Date D,Date M,Date P,PTS,Country,Place,Area,Locality,Formation,Member,Level,Age G1,Age G2,Anatomical part,Anatomical description,Taxonomy 1,Taxonomy 2,TR,Discoverer,Reference of first mention,Reference of description,Reference of taxonomical allocation,Reference of dating,Part
KNM-KP 35842,KNM-KP 35842,#,1997,1998,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,RM1OR2,A. anamensis,A. anamensis,CTA,W. Mangao,"Leakey et al., 1998","Ward et al., 2001","Leakey et al., 1998","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 35843,KNM-KP 35843,#,1997,1998,#,#,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Ldi2,A. anamensis,A. anamensis,CTA,Team,"Leakey et al., 1998",Undescribed,"Leakey et al., 1998","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 35844,KNM-KP 35844,#,1997,2001,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,M frag.,A. anamensis,A. anamensis,CTA,#,"Ward et al., 2001","Ward et al., 2001","Ward et al., 2001","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 35845,KNM-KP 35845,#,1996,2001,2001,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,M frag.,A. anamensis,A. anamensis,CTA,#,"Ward et al., 2001","Ward et al., 2001","Ward et al., 2001","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 35847,KNM-KP 35847,#,1997,1998,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lm2,A. anamensis,A. anamensis,CTA,W. Mangao,"Leakey et al., 1998","Ward et al., 2001","Leakey et al., 1998","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 35850,KNM-KP 35850,#,1997,2001,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Upper M frag.,A. anamensis,A. anamensis,CTA,#,"Ward et al., 2001","Ward et al., 2001","Ward et al., 2001","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 35851,KNM-KP 35851,#,1997,2001,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LM2OR3 frag.,A. anamensis,A. anamensis,CTA,#,"Ward et al., 2001","Ward et al., 2001","Ward et al., 2001","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 35852,KNM-KP 35852,#,1997,1998,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LC,A. anamensis,A. anamensis,CTA,M. Eregai,"Leakey et al., 1998","Ward et al., 2001","Leakey et al., 1998","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 37522,KNM-KP 37522,#,1997,2001,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LM(2?),A. anamensis,A. anamensis,CTA,#,"Ward et al., 2001","Ward et al., 2001","Ward et al., 2001","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 37523,KNM-KP 37523,#,1997,2001,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rm frag.,A. anamensis,A. anamensis,CTA,#,"Ward et al., 2001","Ward et al., 2001","Ward et al., 2001","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 37524,KNM-KP 37524,#,1997,2001,2001,4,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,4 lower tooth frag.,A. anamensis,A. anamensis,CTA,#,"Ward et al., 2001","Ward et al., 2001","Ward et al., 2001","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47951a,KNM-KP 47951,a,2003,2012,2013,10,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lc,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47951b,KNM-KP 47951,b,2003,2012,2013,10,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lp3,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47951c,KNM-KP 47951,c,2003,2012,2013,10,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rp3,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47951d,KNM-KP 47951,d,2003,2012,2013,10,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rp4,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47951e,KNM-KP 47951,e,2003,2012,2013,10,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Tooth frag.,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47951f,KNM-KP 47951,f,2003,2012,2013,10,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Tooth frag.,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47952a,KNM-KP 47952,a,2008,2012,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LI1,A. anamensis,A. anamensis,CTA,J. Mbithi et R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47952b,KNM-KP 47952,b,2008,2012,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LI2,A. anamensis,A. anamensis,CTA,J. Mbithi et R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47952c,KNM-KP 47952,c,2008,2012,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LC,A. anamensis,A. anamensis,CTA,J. Mbithi et R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47952d,KNM-KP 47952,d,2008,2013,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,RI1 frag.,A. anamensis,A. anamensis,CTA,J. Mbithi et R. Moru,"Ward et al., 2013","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953a,KNM-KP 47953,a,2008,2012,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rc,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953b,KNM-KP 47953,b,2008,2012,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rp3,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953c,KNM-KP 47953,c,2008,2012,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rp4,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953d,KNM-KP 47953,d,2008,2012,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rm1,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953e,KNM-KP 47953,e,2008,2012,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Rm3,A. anamensis,A. anamensis,CTA,R. Moru,"Manthi et al., 2012","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953f,KNM-KP 47953,f,2008,2013,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lc,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2013","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953g,KNM-KP 47953,g,2008,2013,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lm3,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2013","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953h,KNM-KP 47953,h,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Ri2,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953i,KNM-KP 47953,i,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Li2,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953j,KNM-KP 47953,j,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Ri1,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953k,KNM-KP 47953,k,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Li1,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953l,KNM-KP 47953,l,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lm1,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47953m,KNM-KP 47953,m,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lp4,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47954,KNM-KP 47954,#,2007,2013,2013,6,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,RP3,A. anamensis,A. anamensis,CTA,Team,"Ward et al., 2013","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47955,KNM-KP 47955,#,2007,2013,2013,6,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lm1,A. anamensis,A. anamensis,CTA,Team,"Ward et al., 2013","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47956,KNM-KP 47956,#,2008,2013,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,M,L partial edentulous mandible,A. anamensis,A. anamensis,CTA,F.K. Manthi,"Ward et al., 2013","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 47957,KNM-KP 47957,#,2007,2013,2013,6,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Lm3 germ,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2013","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 49388,KNM-KP 49388,#,2007,2013,2013,6,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LP4,A. anamensis,A. anamensis,CTA,F.K. Manthi,"Ward et al., 2013","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 52120,KNM-KP 52120,#,2008,2013,2013,5,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LM2,A. anamensis,A. anamensis,CTA,J. Mbithi et R. Moru,"Ward et al., 2013","Ward et al., 2013","Ward et al., 2013","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 53160,KNM-KP 53160,#,2012,2020,2020,8,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,M,Mandible with teeth from Lm2 to Rm2,A. anamensis,A. anamensis,CTA,P. Nzube,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 58309,KNM-KP 58309,#,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,LC,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 58310,KNM-KP 58310,#,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,P,Humerus dist. diaphysis,A. anamensis,A. anamensis,CTA,R. Moru,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 58311,KNM-KP 58311,#,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,Li1,A. anamensis,A. anamensis,CTA,J. Nzavi,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
KNM-KP 58312,KNM-KP 58312,#,2013,2020,2020,7,Kenya,Kanapoi,#,#,Kanapoi,,#,4.07-4.22,4.05-4.20,T,dm2 with mandibular frag.,A. anamensis,A. anamensis,CTA,J. Nzavi,"Ward et al., 2020","Ward et al., 2020","Ward et al., 2020","Feibel, 2003; McDougall and Brown, 2008",west
